Nombre,Precio,Stock
Fomapan 100 35mm 24 Exp.,5300,TRUE
Fomapan 200 35mm 24 Exp.,5600,TRUE
Fomapan 400 35mm 24 Exp.,5700,TRUE
Fomapan 100 35mm,6200,TRUE
Fomapan 100 120mm,6200,TRUE
Ilford - FP4 Plus 120 BN,6300,TRUE
Ilford - HP5 Plus 120 BN,6400,TRUE
Fomapan 400 35mm,6500,TRUE
Fomapan 400 120mm,6500,TRUE
Fomapan 200 35mm,6500,TRUE
Fomapan 200 120mm,6500,TRUE
Ilford - FP4 Plus 35mm BN,6800,TRUE
Ilford - HP5 Plus 35mm BN,6800,TRUE
Retropan 320 120,6900,TRUE
Ilford XP2S 35mm,7900,TRUE
Ilford Delta 400 35mm,8900,TRUE
Ilford Delta 100 35mm,8900,TRUE
FOMAPAN R100 135-36,8900,TRUE
Lomography Potsdam Kino 100 BN 35mm,9900,TRUE
Kodak T-MAX 100 120,10900,TRUE
Kodak T-Max 100 35mm,10900,TRUE
Kodak TRI-X 400 120,10900,TRUE
Kodak T-MAX 400 120,11900,TRUE
Lomography Babylon Kino ISO 13 35mm,11900,TRUE
Lomography Fantome Kino ISO 8 35mm,11900,TRUE
Lomography Berlin Kino 400 35mm,11900,TRUE
Kodak T-Max 400 35mm,11900,TRUE
Kodak TRI-X 400 35mm,12900,TRUE
Fuji Neopan Acros 100 35mm,14900,TRUE
Fomapan Tambor 100 35 mm,72900,TRUE
Fomapan Tambor 200 35 mm,78900,TRUE
Fomapan Tambor 400 35 mm,78900,TRUE
Ilford Tambor HP5,95000,FALSE
